hogar;agente;tipo_domicilio;forma_pago;dia;hora;duracion_minutos;valor
615;54;1;1;29;2;47;16000
95;74;2;2;5;0;30;110000
581;9;2;2;20;12;52;142000
305;25;3;2;5;22;28;55000
101;93;2;2;25;3;20;105000
878;52;2;3;19;19;24;195000
133;19;4;3;9;9;21;90000
886;78;4;3;3;5;47;68000
113;17;1;1;4;11;31;31000
403;21;1;3;9;12;31;35000
919;72;4;2;9;5;59;148000
790;50;3;3;20;17;53;29000
896;84;4;2;12;10;24;105000
253;39;1;2;23;19;11;119000
231;77;4;1;31;13;57;148000
914;100;1;2;20;13;45;50000
267;8;1;2;4;16;13;17000
499;48;1;3;16;20;41;196000
312;26;3;1;4;16;59;85000
293;89;2;1;18;18;11;125000
55;9;3;2;10;14;39;99000
98;85;3;3;13;10;54;8000
876;93;2;1;8;13;57;4000
454;27;1;2;5;6;20;134000
875;74;3;1;11;3;10;70000
713;97;4;2;28;10;15;69000
837;56;4;2;30;3;43;6000
555;13;2;1;9;17;28;138000
486;44;1;3;12;22;12;136000
440;26;1;2;21;3;39;61000
913;86;4;3;15;14;14;55000
259;10;1;2;21;12;33;58000
619;62;3;3;30;4;16;163000
441;15;4;1;1;16;26;68000
450;66;2;2;9;8;18;121000
57;39;2;2;1;9;24;134000
932;60;1;2;27;15;34;165000
252;37;1;2;28;13;37;47000
348;30;2;2;24;1;56;38000
71;11;4;2;30;5;19;69000
542;31;1;2;5;12;41;101000
888;43;3;1;14;2;55;84000
689;65;1;3;11;1;10;41000
18;91;1;3;10;11;49;88000
345;57;1;2;27;12;51;118000
878;23;1;2;3;0;52;47000
532;74;3;3;14;23;16;84000
250;62;2;3;9;18;51;123000
690;63;3;3;15;8;10;34000
400;37;3;2;20;2;45;139000
485;40;3;3;23;17;23;177000
358;91;3;2;18;7;27;72000
287;52;1;2;7;18;32;97000
91;28;4;1;15;16;45;187000
215;53;1;1;9;3;17;28000
733;74;2;2;16;0;12;45000
237;80;4;2;27;13;52;115000
829;32;1;3;21;12;22;78000
337;14;1;3;22;19;45;153000
505;38;4;2;17;20;40;10000
37;60;2;3;1;18;32;163000
479;28;3;2;7;7;28;193000
452;79;1;2;17;1;40;124000
993;27;1;1;3;0;20;198000
615;57;3;3;23;5;29;161000
399;10;4;3;12;17;44;28000
452;87;3;1;17;2;45;197000
886;33;3;1;1;4;16;95000
617;79;2;2;14;22;26;64000
676;74;1;3;5;20;14;184000
975;18;2;3;15;3;14;16000
504;72;1;1;5;8;20;2000
921;64;4;3;10;7;17;129000
676;59;4;2;12;4;46;33000
413;13;4;1;6;11;33;57000
333;59;4;2;7;20;16;50000
906;58;2;2;25;6;59;198000
952;67;4;1;26;21;16;174000
988;5;2;2;16;11;46;40000
612;55;1;1;4;10;19;162000
573;27;4;3;19;13;18;164000
513;27;2;2;1;14;27;58000
183;53;4;3;1;13;47;190000
813;37;2;2;7;18;57;123000
255;66;4;1;11;6;10;104000
340;24;1;2;6;17;51;8000
147;26;4;2;22;9;10;188000
862;51;4;3;7;17;43;13000
914;21;4;1;2;6;47;157000
846;21;3;2;9;5;55;144000
431;40;4;1;6;18;34;138000
270;97;2;3;4;8;56;180000
72;67;3;1;28;23;58;64000
357;85;1;3;13;15;55;79000
696;51;2;1;26;15;49;143000
237;72;1;2;24;11;42;38000
299;94;4;2;2;11;10;178000
146;48;4;3;17;1;54;131000
634;20;4;3;15;15;38;84000
278;7;1;3;27;20;29;30000
704;56;4;1;2;21;30;76000
175;74;3;2;14;21;57;126000
889;30;3;2;6;13;40;137000
61;13;4;1;30;21;14;50000
993;55;4;1;6;19;59;35000
400;39;1;2;1;3;27;130000
384;75;3;3;20;4;17;8000
85;94;1;2;26;15;14;87000
685;46;2;2;13;0;21;68000
537;19;3;2;14;1;50;126000
574;17;1;3;25;10;30;117000
596;8;4;2;6;5;14;159000
653;38;1;3;22;11;18;93000
907;23;1;1;15;18;53;184000
491;68;1;1;14;10;14;181000
226;60;4;1;8;9;47;15000
31;40;4;3;23;1;35;114000
72;55;2;3;28;9;43;38000
456;46;2;1;21;12;14;133000
259;14;2;3;22;8;33;7000
525;87;3;3;24;5;47;18000
408;63;3;1;29;9;29;125000
424;100;2;1;15;7;41;132000
695;68;4;1;11;10;25;114000
272;96;2;2;11;6;39;173000
547;32;2;2;24;8;45;189000
90;59;2;1;9;3;11;41000
221;12;4;1;15;7;22;157000
374;39;3;3;16;7;29;161000
921;59;3;1;17;15;31;171000
228;48;2;2;19;15;16;110000
767;24;2;1;14;6;43;10000
98;34;3;2;2;14;19;99000
882;53;1;2;9;19;51;167000
287;71;4;2;4;16;50;26000
67;68;4;3;17;19;44;37000
259;68;2;3;10;20;26;43000
697;47;2;3;18;14;46;128000
64;63;1;3;30;21;52;118000
451;87;1;3;12;17;30;133000
625;70;4;1;17;9;25;50000
423;13;4;3;8;3;55;66000
805;96;4;3;2;22;46;123000
593;18;2;1;29;5;28;79000
64;68;3;1;26;19;58;93000
242;5;2;1;31;18;50;123000
975;75;3;1;10;19;35;118000
613;56;4;1;12;13;18;86000
469;50;4;2;25;19;25;171000
800;3;2;3;3;5;38;42000
764;33;4;1;20;20;35;129000
229;97;1;2;15;18;42;172000
320;32;2;2;31;14;46;121000
285;98;4;2;15;7;29;120000
930;9;4;1;6;21;16;148000
790;63;1;2;17;18;12;34000
226;9;1;3;11;3;52;35000
342;70;1;3;21;20;30;109000
165;35;2;1;11;22;20;39000
369;54;4;1;26;11;35;70000
752;8;4;2;25;2;59;1000
603;82;1;2;26;16;39;93000
589;96;2;1;22;7;57;171000
274;46;3;3;7;3;14;186000
56;37;1;3;20;17;43;128000
706;39;4;1;19;1;31;70000
833;34;2;2;26;9;35;192000
643;65;1;3;27;14;54;195000
186;21;1;1;15;1;54;170000
701;96;4;2;30;20;46;109000
421;44;3;3;24;11;58;104000
850;95;2;2;31;19;46;139000
653;88;4;2;3;23;12;173000
855;65;4;2;18;14;51;157000
481;59;3;2;21;6;35;104000
118;31;3;2;15;8;40;78000
419;2;2;2;1;20;38;191000
726;18;2;3;6;19;40;37000
456;67;4;1;19;9;47;117000
388;5;1;3;11;0;46;111000
336;50;2;1;26;18;14;173000
875;28;3;2;17;14;47;77000
851;19;4;1;22;21;51;77000
651;36;2;3;13;10;27;34000
948;26;4;2;31;16;45;34000
766;74;2;3;24;3;55;14000
615;24;2;1;22;12;33;52000
993;10;4;3;20;17;47;10000
847;68;4;3;31;15;26;168000
516;68;4;1;21;3;28;73000
185;29;3;1;17;23;38;173000
577;36;1;2;17;18;59;16000
228;79;2;3;4;23;36;118000
436;94;1;3;25;12;20;183000
339;62;1;3;20;10;50;194000
672;68;4;3;23;22;48;94000
854;2;3;3;21;3;42;118000
367;64;3;2;27;9;28;73000
554;31;2;2;1;8;17;194000
178;82;2;1;21;0;28;145000
382;44;4;2;25;11;34;14000
511;38;4;1;16;3;30;197000
88;84;1;2;30;23;59;26000
690;91;1;2;1;19;17;67000
90;2;4;3;16;19;59;56000
211;11;1;1;5;8;27;7000
567;12;3;3;1;21;32;99000
666;65;4;1;2;20;55;194000
400;41;2;2;25;12;14;49000
93;14;1;2;21;9;51;132000
263;84;2;3;5;1;19;115000
976;66;1;3;9;2;25;97000
22;62;3;2;22;16;58;103000
8;75;1;1;25;3;14;50000
248;87;4;1;6;9;50;41000
499;49;3;2;11;13;18;103000
867;80;1;2;8;19;47;137000
346;80;2;3;12;15;38;72000
50;70;2;3;8;13;37;129000
908;39;2;3;24;22;26;6000
264;11;4;1;25;2;17;79000
391;16;3;1;13;19;39;140000
91;3;2;2;4;0;44;193000
527;1;1;3;17;4;25;21000
472;95;2;2;8;8;16;166000
360;30;1;1;13;10;14;53000
482;36;1;3;3;8;14;66000
834;11;1;2;25;7;44;73000
696;58;4;3;21;4;36;177000
376;81;2;1;16;1;54;64000
454;94;2;1;10;1;44;34000
658;44;3;1;6;7;28;100000
78;55;3;2;21;3;43;32000
